transaction_id,timestamp,user_id,card_number,bin_number,merchant_id,merchant_category,transaction_amount,currency,location,device_id,ip_address,foreign_ip_flag,fraud_label,hour_of_day,day_of_week,is_weekend,amount_log
379b71ac-2f74-4170-b5d1-76c4d179601a,2022-01-01 09:22:35.753019,U000203,4138782931027072,413878,M00106,Grocery,19.96,USD,East Jacquelineberg,445f00bd,79.171.74.121,0,0,9,5,1,3.0426158594528414
5ca92fab-d211-4f69-83aa-61fe2d9e5621,2022-01-01 09:52:06.812468,U000713,4128382710123291,412838,M00111,Grocery,80.76,USD,Larryton,228acb9a,91.176.8.186,0,0,9,5,1,4.403788126455394
5026c726-32a6-4659-a063-667e938dae34,2022-01-01 11:27:12.003963,U000375,4099576572894130,409957,M00036,Gas,20.34,USD,Trevorton,3c82f2f7,35.51.203.61,0,0,11,5,1,3.060583245873607
51cf5b68-11a1-4afd-ab9c-c047d5110d55,2022-01-01 17:06:51.211662,U000368,4601864876998422,460186,M00020,Gas,44.52,USD,Michaelview,f5648bb4,169.203.154.101,0,0,17,5,1,3.8181517898180757
3979c056-e9e3-4441-b69f-823d63d4c1b1,2022-01-02 09:26:05.414544,U000457,4627187496033580,462718,M00115,Travel,5.0,USD,Lake Patrick,114dd7aa,174.15.237.107,0,0,9,6,1,1.791759469228055
15313839-4177-44b2-9fae-59ed6ee7e87c,2022-01-02 13:16:59.068074,U000456,4556283333939579,455628,M00079,Grocery,13.04,USD,Sandrafurt,dd2c8b74,21.154.192.42,0,0,13,6,1,2.641910398597665
676d06fd-445d-46c8-b371-19f1c1e5478b,2022-01-02 14:07:10.808380,U000208,4623972652735431,462397,M00064,Gas,15.17,USD,Port Laura,c2f77190,114.169.168.38,0,0,14,6,1,2.783157673589016
63182fbc-4764-49eb-8365-c60bcedaf844,2022-01-02 15:05:29.227437,U000201,4642569087766184,464256,M00051,Grocery,173.71,USD,Christophermouth,20ba330d,71.140.237.79,0,0,15,6,1,5.163127456486353
8ae4d31a-5211-42b7-9f77-7f1bfa575901,2022-01-02 17:12:54.791971,U000194,4190986240580086,419098,M00115,Travel,69.49,USD,South Don,a126a773,126.68.198.94,0,0,17,6,1,4.255470855785784
ed208873-f127-4529-ac27-34f385a15126,2022-01-02 21:02:07.776592,U000520,4618517446004524,461851,M00099,Travel,15.88,USD,New Lauren,3c6f3749,90.219.251.40,0,0,21,6,1,2.826129489167811
7fcde1a4-beb9-463d-b633-615ba12131ec,2022-01-02 21:39:54.865271,U000648,4164119556409193,416411,M00020,Gas,14.47,USD,Garyburgh,7526edf6,85.156.243.244,0,0,21,6,1,2.738902664584975
00a43101-470a-44cb-85c5-7c9ed2348e73,2022-01-03 09:30:51.537568,U000348,4634362948978614,463436,M00009,Grocery,9.77,EUR,Lake Johnville,5bc7bdfd,58.69.68.41,0,0,9,0,0,2.3767644911682972
9087a6b0-c2a7-444c-afab-7c79ce9633e8,2022-01-03 10:58:34.221684,U000351,4545897148026324,454589,M00099,Travel,23.66,GBP,Tylerbury,2e9d6a01,82.152.177.198,0,0,10,0,0,3.2051824977361982
169d4c66-9a7d-4edc-a2d5-e92c3b693b61,2022-01-03 12:35:26.397060,U000490,4754895478769899,475489,M00101,Restaurant,21.99,USD,South Matthew,00eee04b,56.139.195.15,0,0,12,0,0,3.1350593387750902
28944507-320d-4f0b-ab6f-4ce76d8caf69,2022-01-03 14:08:13.615823,U000595,4782141746813599,478214,M00047,Grocery,104.05,USD,Sarahfurt,09456efa,33.113.137.248,0,0,14,0,0,4.654436427291009
3054fcb2-27f6-456f-b4cc-842da8030a28,2022-01-03 15:06:59.664041,U000525,4155668473236536,415566,M00050,Retail,72.98,USD,South Tracy,7536a6f6,121.54.251.123,0,0,15,0,0,4.303794786404308
4c508506-1b0b-4af1-b17a-9cfb91c35378,2022-01-03 15:46:53.348639,U000192,4817246191965700,481724,M00098,Entertainment,102.76,USD,East Lisashire,9c4c6587,55.237.155.32,0,0,15,0,0,4.642080540008188
332d7779-2e91-43fe-b10e-ff421cc55a84,2022-01-03 19:20:21.854074,U000456,4836253666777674,483625,M00045,Grocery,10.11,EUR,Brooksport,dd2c8b74,21.154.46.70,0,0,19,0,0,2.4078456036515385
b676e142-41ab-454f-891e-b37a6d247125,2022-01-03 19:28:27.876749,U000542,4373265306011982,437326,M00037,Restaurant,78.43,USD,West Kimberlyville,39f81aab,161.28.225.42,0,0,19,0,0,4.374876130645041
7cf6cf6e-644c-40ab-916c-d7bd1ff0a65f,2022-01-04 09:32:57.522506,U000295,4710040901380690,471004,M00116,Grocery,44.95,USD,Sarahfort,faf8db13,155.30.232.146,0,0,9,1,0,3.827553848801696
0af457e6-b89d-4d37-8e5d-6ef97380734a,2022-01-04 09:37:53.976466,U000183,4010713966055830,401071,M00049,Retail,19.79,USD,Lake Jamesport,0ba20369,89.115.238.64,0,0,9,1,0,3.0344721018699214
95793549-b9aa-4afe-9500-8bac6f017d8c,2022-01-04 10:28:02.715291,U000068,4753046374549909,475304,M00017,Restaurant,5.0,USD,East Susan,838c74b1,176.191.44.148,0,0,10,1,0,1.791759469228055
9da573c1-451a-4566-822b-b80f537d955b,2022-01-04 10:33:06.792159,U000127,4150648909010015,415064,M00082,Restaurant,9.21,USD,Wallaceville,e4930f9c,82.107.253.139,0,0,10,1,0,2.3233676321765744
70675e29-5877-40c1-b28d-b805a5f7232c,2022-01-05 12:13:37.772736,U000106,4494937597383205,449493,M00103,Retail,35.34,USD,Johnsonside,79f05067,27.34.114.21,0,0,12,2,0,3.592919062968025
b489887b-a104-4e33-839b-76bd2b925ce8,2022-01-05 12:44:06.361492,U000256,4106273715869887,410627,M00051,Grocery,5.0,GBP,Wigginsshire,d5b24d3f,155.194.16.160,0,0,12,2,0,1.791759469228055
0d6ac43d-8b7b-49ad-b7c3-4e1ac0b0caa9,2022-01-05 16:48:17.240256,U000038,4120047113826752,412004,M00071,Entertainment,97.62,EUR,Port Matthewberg,760ce8a4,200.134.186.147,0,0,16,2,0,4.59127408079598
f2b45716-22dd-410e-94ca-306750ea72e0,2022-01-06 16:07:53.587570,U000701,4224870987264965,422487,M00036,Gas,132.4,USD,East Gregory,af56da08,20.14.228.218,0,0,16,3,0,4.893352133481524
