transaction_id,timestamp,user_id,card_number,bin_number,merchant_id,merchant_category,transaction_amount,currency,location,device_id,ip_address,foreign_ip_flag,fraud_label,hour_of_day,day_of_week,is_weekend,amount_log
0823e0c7-0dd0-4e6a-9264-e87cd80aa4ef,2022-01-01 10:20:02.473418,U000781,4731671560587905,473167,M00023,Retail,154.83,USD,Davidview,099a585e,123.131.156.144,0,0,10,5,1,5.048765669457524
3802af21-d002-420a-a5d0-55fe2e35a313,2022-01-01 11:22:18.707731,U000108,4445655743132918,444565,M00047,Retail,106.29,USD,North Ericport,2775d4e5,155.126.237.126,0,0,11,5,1,4.675535448648655
8d5ab439-7240-406e-b3ef-d5c582508233,2022-01-01 13:15:24.847309,U000610,4038453198074683,403845,M00068,Retail,138.3,USD,West Lisaview,aceb693c,71.214.229.177,0,0,13,5,1,4.93662988078576
81e645f9-d31a-4a91-99f3-be820fab1bd7,2022-01-01 17:04:58.280182,U000492,4358853798214336,435885,M00014,Restaurant,160.95,USD,Isaacfort,58d8ce89,99.3.113.231,0,0,17,5,1,5.087287645617338
ca768f89-1f93-4747-8076-f3cb5098fecc,2022-01-01 17:12:12.845459,U000445,4056409951239720,405640,M00115,Travel,320.0,USD,West Collin,c2c5feae,10.141.203.61,0,0,17,5,1,5.771441123130016
8ff63e41-d028-4f99-bda8-d4791b817cd5,2022-01-02 14:42:09.026568,U000605,4781053912878846,478105,M00133,Entertainment,121.19,USD,Larashire,628099e0,11.40.30.122,0,0,14,6,1,4.805577210328431
1d520803-77d5-4cc6-ad47-ec8502c3689e,2022-01-03 11:01:34.159660,U000693,4177905528669335,417790,M00109,Entertainment,98.1,USD,Christophermouth,593c0829,142.145.78.171,0,0,11,0,0,4.596129441335942
0e3685aa-29a0-4fce-99e3-6e481ebcd685,2022-01-03 12:54:17.620969,F000024,4126410603267537,412641,M00060,Entertainment,663.62,USD,Lake Debbieton,984d44d3,127.105.105.174,1,1,12,0,0,6.499215448756896
f43f63dd-fe55-4c02-bba4-0f62b11d2434,2022-01-03 12:58:26.338989,F000024,4499987093391363,449998,M00191,Retail,270.04,USD,Lake Debbieton,984d44d3,218.69.176.233,0,1,12,0,0,5.60226641146369
63710fff-be78-4ace-88ae-f7c40437bfb0,2022-01-03 12:58:40.979886,F000024,4499987093391363,449998,M00060,Entertainment,873.49,USD,Lake Debbieton,984d44d3,134.145.59.14,1,1,12,0,0,6.773640859287501
5ba5d7b8-9bac-4012-ac8e-fc2e0b2f5af0,2022-01-03 12:58:51.402508,F000024,4126410603267537,412641,M00191,Retail,442.18,USD,Lake Debbieton,984d44d3,97.237.46.131,1,1,12,0,0,6.093976008061059
74945185-21f5-4532-ac23-ea8cfa11b24f,2022-01-03 13:00:07.877083,F000024,4126410603267537,412641,M00191,Retail,503.69,USD,Lake Debbieton,984d44d3,211.4.192.82,1,1,13,0,0,6.223944379399179
4011aab8-33a9-4841-b0f2-af835eea34bb,2022-01-03 13:02:54.737629,F000024,4126410603267537,412641,M00060,Entertainment,231.74,USD,Lake Debbieton,984d44d3,11.33.206.96,1,1,13,0,0,5.449921950679931
2067f7ac-fdd1-4f3e-a316-4343d68789c3,2022-01-03 13:06:41.412178,F000024,4499987093391363,449998,M00191,Retail,330.63,USD,Lake Debbieton,984d44d3,218.69.173.221,0,1,13,0,0,5.804019889615256
8d20e25a-7326-4aba-b137-583c7cf264ce,2022-01-04 09:03:53.795281,U000224,4611076031089074,461107,M00182,Entertainment,95.98,USD,East Meghanview,2815c07f,64.232.214.228,0,0,9,1,0,4.574504771677206
c9e752f7-3940-4efc-9559-694fc913f3db,2022-01-04 15:06:59.544752,U000616,4312616850710581,431261,M00080,Restaurant,187.51,USD,North Darrenstad,31a1d0ff,10.180.251.123,0,0,15,1,0,5.239151055878821
4570dbd1-dcc4-4e7f-808b-3e9a443cc3fe,2022-01-04 15:42:22.827016,U000320,4848100184186209,484810,M00168,Retail,289.59,USD,North Jeremy,1ee8b9e4,220.137.168.45,0,0,15,1,0,5.671913338981806
2453645d-149b-42b3-96b4-6fc565aae696,2022-01-04 16:15:58.785134,U000564,4313259367813678,431325,M00121,Restaurant,120.82,USD,Brandonview,7048d5cd,89.200.146.24,0,0,16,1,0,4.802544545408338
d1deba02-5dd0-408b-86f9-a4012476b4f5,2022-01-05 10:15:51.573030,F000015,4751857116456050,475185,M00157,Restaurant,10.0,USD,Allisonstad,9cab6f93,1.198.230.36,1,1,10,2,0,2.3978952727983707
161ee448-cbd5-49c5-8785-4d0cadb92a54,2022-01-05 10:16:27.951034,F000015,4634318073920029,463431,M00157,Restaurant,10.0,USD,Allisonstad,7f3b0a6d,157.100.33.158,1,1,10,2,0,2.3978952727983707
c9ed27b7-7f73-4681-b141-688a4f3fa552,2022-01-05 10:17:36.425739,F000015,4751857116456050,475185,M00157,Restaurant,31.1,USD,Allisonstad,7bdf7100,191.197.132.126,1,1,10,2,0,3.4688560301359703
6232bddf-e507-4c26-90da-b5ab40fc1214,2022-01-05 10:17:57.965085,F000015,4751857116456050,475185,M00021,Restaurant,64.04,USD,Allisonstad,7f3b0a6d,31.231.171.84,1,1,10,2,0,4.175002465239555
ca2c31f3-6dc3-4226-bb6b-57d45f127a61,2022-01-05 10:18:36.885498,F000015,4634318073920029,463431,M00015,Restaurant,207.37,USD,Allisonstad,7f3b0a6d,188.139.25.59,1,1,10,2,0,5.339315345582109
8cb35f80-c3c2-41ce-b2f1-cf8f2f3cca32,2022-01-05 10:19:14.239784,F000015,4751857116456050,475185,M00021,Restaurant,216.67,USD,Allisonstad,7f3b0a6d,151.29.150.23,1,1,10,2,0,5.382980154426746
